k_bad,instance,strategy,growth
0,76,equal_weight,0.03526297722296375
0,76,oracle_kelly,0.04250811234919471
0,77,naive_kelly,0.05060423113788433
0,77,robust_G0,0.05045867354941923
0,77,robust_G1,0.028417488427637475
0,77,robust_G2,0.012148805028633079
0,77,robust_G3,0.0
0,77,robust_G6,0.0
0,77,equal_weight,0.0390285962062048
0,77,oracle_kelly,0.055851858993413564
0,78,naive_kelly,0.058639850128172896
0,78,robust_G0,0.058549048894397236
0,78,robust_G1,0.0586923304487024
0,78,robust_G2,0.056990727213366975
0,78,robust_G3,0.052997367358977227
0,78,robust_G6,0.035067076108767005
0,78,equal_weight,0.05137883216661215
0,78,oracle_kelly,0.06288559243527032
0,79,naive_kelly,0.05811112387556936
0,79,robust_G0,0.058009370667559436
0,79,robust_G1,0.049662306908784766
0,79,robust_G2,0.03301696560306369
0,79,robust_G3,0.020169960696165022
0,79,robust_G6,0.0
0,79,equal_weight,0.06273407701977386
0,79,oracle_kelly,0.06589719502325157
0,80,naive_kelly,0.07311837762877224
0,80,robust_G0,0.07355883011386566
0,80,robust_G1,0.07501184579124393
0,80,robust_G2,0.07423345452107885
0,80,robust_G3,0.07404289224717905
0,80,robust_G6,0.04557496099565028
0,80,equal_weight,0.06643108376637485
0,80,oracle_kelly,0.07609520677293413
0,81,naive_kelly,0.07700532742121247
0,81,robust_G0,0.07773529104834329
0,81,robust_G1,0.07736117292787248
0,81,robust_G2,0.07133594665555729
0,81,robust_G3,0.056917543192258904
0,81,robust_G6,0.02988654911313822
0,81,equal_weight,0.0739982362577747
0,81,oracle_kelly,0.08109876896744696
0,82,naive_kelly,0.08099447126218862
0,82,robust_G0,0.081297396044372
0,82,robust_G1,0.07503323821518551
0,82,robust_G2,0.055119886774303885
0,82,robust_G3,0.02709458760759383
0,82,robust_G6,0.0
0,82,equal_weight,0.07927472269045102
0,82,oracle_kelly,0.08496327852427288
0,83,naive_kelly,0.06697232523247869
0,83,robust_G0,0.06687363311402804
0,83,robust_G1,0.061054345745968436
0,83,robust_G2,0.044314339972220076
0,83,robust_G3,0.02454455883325867
0,83,robust_G6,0.0
0,83,equal_weight,0.06008226815971213
0,83,oracle_kelly,0.06820553068379023
0,84,naive_kelly,0.04276220189883173
0,84,robust_G0,0.042614834432026405
0,84,robust_G1,0.042087387592808834
0,84,robust_G2,0.02765680972031487
0,84,robust_G3,0.009001025817749708
0,84,robust_G6,0.0024759850280631646
0,84,equal_weight,0.04829332500879459
0,84,oracle_kelly,0.05202027851870275
0,85,naive_kelly,0.060027609452951484
0,85,robust_G0,0.06004568184263918
0,85,robust_G1,0.060028199542455515
0,85,robust_G2,0.05469711408017862
0,85,robust_G3,0.03647610491192597
0,85,robust_G6,0.00015359675091851312
0,85,equal_weight,0.06091704833423546
0,85,oracle_kelly,0.06525984145910774
0,86,naive_kelly,0.07526404076478516
0,86,robust_G0,0.07501654597657272
0,86,robust_G1,0.07637155656256002
0,86,robust_G2,0.05342682005589795
0,86,robust_G3,0.02558573960045627
0,86,robust_G6,0.006507664795697855
0,86,equal_weight,0.07138761534860742
0,86,oracle_kelly,0.08037573472861076
0,87,naive_kelly,0.04675464406501773
0,87,robust_G0,0.04666068378139895
0,87,robust_G1,0.03390573901538446
0,87,robust_G2,0.017598292696570914
0,87,robust_G3,0.0
0,87,robust_G6,0.0
0,87,equal_weight,0.035240093369193905
0,87,oracle_kelly,0.04851363104604021
0,88,naive_kelly,0.08215555455009968
0,88,robust_G0,0.0817957124403286
0,88,robust_G1,0.07520593849909586
0,88,robust_G2,0.0669753861000331
0,88,robust_G3,0.0419795456630655
0,88,robust_G6,0.0177055210473859
0,88,equal_weight,0.07934869222768774
0,88,oracle_kelly,0.08656285155822549
0,89,naive_kelly,0.09460534638572579
0,89,robust_G0,0.0942578732249557
0,89,robust_G1,0.09346340277123512
0,89,robust_G2,0.09321511355231314
0,89,robust_G3,0.08501431397872479
0,89,robust_G6,0.0361625956907142
0,89,equal_weight,0.08771722528957142
0,89,oracle_kelly,0.09610563803104774
0,90,naive_kelly,0.06704288733854558
0,90,robust_G0,0.06690383688484772
0,90,robust_G1,0.05841164204229084
0,90,robust_G2,0.040580800627976324
0,90,robust_G3,0.02248530943212341
